,full_name,forks_count,open_issues_count,watchers_count,star_count
0,mopidy/mopidy,-1.3456020386797631,-1.7864206574834647,-0.23437561917709715,-0.23437561917709715
1,GoogleContainerTools/distroless,-1.5765093794072653,-2.4954116190881535,-0.2362759843642628,-0.2362759843642628
2,hardikvasa/google-images-download,-0.723928429028796,-2.393214723721712,-0.2373125471936259,-0.2373125471936259
3,miguelgrinberg/flasky,0.8867713777941645,-2.7828403873062704,-0.23852187049454954,-0.23852187049454954
4,rusty1s/pytorch_geometric,-1.0501052320144983,-1.4159569117801138,-0.23904015190923106,-0.23904015190923106
5,machinelearningmindset/machine-learning-course,-0.9935894493189558,-2.8275515290290887,-0.24007671473859415,-0.24007671473859415
6,pyinstaller/pyinstaller,-0.7804442117243384,1.471105382321862,-0.24422296605604654,-0.24422296605604654
7,Zulko/moviepy,-1.159907324108695,-0.36205142831368453,-0.24664161265789375,-0.24664161265789375
8,schollz/howmanypeoplearearound,-1.5660135911923787,-2.706192715781439,-0.2483692173734989,-0.2483692173734989
9,pydanny/cookiecutter-django,-0.4938284566255159,-2.1249478733848024,-0.2492330197313015,-0.2492330197313015
10,uber/ludwig,-1.2810125727420003,-2.2974051343156727,-0.25199718727626974,-0.25199718727626974
11,shengqiangzhang/examples-of-web-crawlers,-0.3032895321091156,-2.8275515290290887,-0.2525154686909513,-0.2525154686909513
12,deis/deis,-1.1445673259484763,-2.8020023051874783,-0.25337927104875385,-0.25337927104875385
13,bup/bup,-1.549058856383716,-2.75729116346466,-0.25545239670748005,-0.25545239670748005
14,s0md3v/Photon,-1.2220746850737918,-2.7317419396230496,-0.2580438037808878,-0.2580438037808878
15,kennethreitz/records,-1.4457157108832956,-2.565671984652582,-0.2594258875533719,-0.2594258875533719
16,dask/dask,-1.0533347053113864,0.3597141452118095,-0.2602896899111745,-0.2602896899111745
17,tgalal/yowsup,-0.1466600772100407,-1.141302755482802,-0.26115349226897705,-0.26115349226897705
18,30-seconds/30-seconds-of-python,-1.1760546905931357,-2.8083896111478808,-0.2613262527405376,-0.2613262527405376
19,cyrus-and/gdb-dashboard,-1.453789394125516,-2.8147769171082837,-0.26288109698458223,-0.26288109698458223
20,hugapi/hug,-1.5522883296806043,-2.0419128958995687,-0.26305385745614274,-0.26305385745614274
21,streamlit/streamlit,-1.4263388711019667,-0.6303182786505938,-0.2637448993423848,-0.2637448993423848
22,rq/rq,-0.9742126095376269,-2.0419128958995687,-0.26564526452955045,-0.26564526452955045
23,numenta/nupic,-0.5559958175906127,0.03396154123127679,-0.2659907854726715,-0.2659907854726715
24,Gallopsled/pwntools,-0.9265778784085268,-2.1441097912660103,-0.26858219254607923,-0.26858219254607923
25,google/jax,-1.4909283370397295,-0.8027755395814641,-0.26892771348920025,-0.26892771348920025
26,netbox-community/netbox,-0.8975126187365335,-1.8502937170874907,-0.2737650066928947,-0.2737650066928947
27,asciimoo/searx,-1.066252598498939,0.4108125928950303,-0.2813664674415574,-0.2813664674415574
